fir_number,date_reported,year,city,state,primary_crime_type,description,ipc_section,location_type,beat_zone,victim_age,victim_gender,arrest_made,case_status,severity,latitude,longitude,law_type,ipc_final,hour,day_of_week,age_group
NAG-2017-6291,2017-12-09 00:00:00,2017,Nagpur,Maharashtra,ROBBERY,unarmed robbery,ipc 392,office,6,64,female,False,pending trial,high,21.286467566538125,79.02107969771868,IPC,IPC 392,0,Saturday,51-65
PUN-2016-8951,2016-03-22 04:52:00,2016,Pune,Maharashtra,OTHER IPC OFFENSE,public nuisance,Other IPC,unknown,46,11,male,False,under investigation,low,18.458637322840115,73.8846596841873,IPC,IPC,4,Tuesday,Under 18
fir/luc/2017/1908,2017-03-24 18:41:00,2017,Lucknow,Uttar Pradesh,DOMESTIC VIOLENCE,dowry harassment,IPC 498A,school,47,59,female,False,charge sheeted,medium,26.94143821861038,80.97284744102112,IPC,IPC 498,18,Friday,51-65
3362/2022,2022-06-25 19:56:00,2022,Ahmedabad,Gujarat,KIDNAPPING,child kidnapping,IPC-363,railway station,37,40,unknown,False,acquitted,high,23.11398986424604,72.48627854365755,IPC,IPC 363,19,Saturday,36-50
fir/koc/2018/6218,2018-04-16 03:15:00,2018,Kochi,Kerala,BURGLARY,house breaking,Sec. 457,bank,1,25,male,False,convicted,medium,9.786878262383318,76.323720832894,IPC,IPC 457,3,Monday,18-25
PUN-2023-9966,2023-01-01 00:00:00,2023,Pune,Maharashtra,CYBER CRIME,identity theft,it act 66,residence,39,46,female,False,convicted,low,18.50214612521245,73.88752599136795,IT,IT 66,0,Sunday,36-50
FIR25742020,2020-01-01 00:00:00,2020,Jaipur,Rajasthan,BURGLARY,night burglary,457 IPC,residence,38,6,unknown,False,convicted,medium,26.77374749634545,75.92181810846745,IPC,IPC 457,0,Wednesday,Under 18
FIR/KAN/2018/2530,2018-08-02 12:59:00,2018,Kanpur,Uttar Pradesh,ASSAULT,road rage,351 IPC,street,1,45,female,False,acquitted,medium,26.40770478965453,80.42375231156976,IPC,IPC 351,12,Thursday,36-50
fir/hyd/2020/9628,2020-10-15 02:36:00,2020,Hyderabad,Telangana,RIOTING,communal riot,IPC 148,street,3,55,male,True,charge sheeted,medium,17.316888713358995,78.35984799982454,IPC,IPC 148,2,Thursday,51-65
fir/sur/2023/1273,2023-02-27 12:29:00,2023,Surat,Gujarat,DOMESTIC VIOLENCE,dowry harassment,DV Act 2005,bank,22,55,male,True,under investigation,medium,21.02896346018075,72.84366844944235,DV,DV,12,Monday,51-65
FIR22692022,2022-03-13 16:23:00,2022,Kanpur,Uttar Pradesh,DOMESTIC VIOLENCE,dowry harassment,ipc 498a,market,8,21,male,True,charge sheeted,medium,26.45854009112904,80.44840901281907,IPC,IPC 498,16,Sunday,18-25
KOC-2018-1911,2018-02-25 05:02:00,2018,Kochi,Kerala,BURGLARY,house breaking,ipc 457,railway station,1,54,female,False,charge sheeted,medium,9.912865201120306,76.38271108792024,IPC,IPC 457,5,Sunday,51-65
BAN-2015-2121,2015-06-05 19:30:00,2015,Bangalore,Karnataka,COUNTERFEITING,document forgery,ipc 489a,residence,33,27,unknown,False,under investigation,low,13.010107677722257,77.52144276624648,IPC,IPC 489,19,Friday,26-35
MUM-2015-9271,2015-01-05 10:57:00,2015,Mumbai,Maharashtra,BURGLARY,shop breaking,Sec. 457,highway,23,22,male,True,under investigation,medium,19.146813025482253,72.7541242742877,IPC,IPC 457,10,Monday,18-25
FIR31892015,2015-05-29 16:43:00,2015,Kolkata,West Bengal,BURGLARY,night burglary,457 IPC,residence,44,74,female,True,under investigation,medium,22.701923670798134,88.36633779570752,IPC,IPC 457,16,Friday,65+
FIR32092023,2023-04-18 05:46:00,2023,Mumbai,Maharashtra,THEFT,pickpocketing,ipc 378,street,25,19,male,False,under investigation,low,19.01277912602494,72.86437820146124,IPC,IPC 378,5,Tuesday,18-25
7187/2021,2021-10-08 00:00:00,2021,Mumbai,Maharashtra,RAPE/SEXUAL ASSAULT,rape,IPC 376,market,8,21,male,False,pending trial,high,18.98209000747234,72.89977663029129,IPC,IPC 376,0,Friday,18-25
JAI-2022-8386,2022-07-11 22:14:00,2022,Jaipur,Rajasthan,THEFT,chain snatching,378,school,43,14,female,False,under investigation,low,26.9760797324772,75.68160855470298,IPC,IPC 378,22,Monday,Under 18
FIR/BHO/2019/9005,2019-12-21 09:02:00,2019,Bhopal,Madhya Pradesh,FRAUD/CHEATING,investment scam,ipc 420,unknown,5,25,male,True,closed,low,23.181257558390623,77.54597519882623,IPC,IPC 420,9,Saturday,18-25
PUN-2020-2981,2020-03-31 23:14:00,2020,Pune,Maharashtra,HUMAN TRAFFICKING,labour trafficking,370 IPC,residence,37,77,female,False,charge sheeted,high,18.65030921336821,74.0019490999888,IPC,IPC 370,23,Tuesday,65+
fir/mum/2019/3313,2019-09-14 18:26:00,2019,Mumbai,Maharashtra,DOMESTIC VIOLENCE,physical abuse,DV Act 2005,street,30,79,male,False,charge sheeted,medium,19.043913362621197,72.97227645481166,DV,DV,18,Saturday,65+
FIR/NAG/2023/1070,2023-01-01 00:00:00,2023,Nagpur,Maharashtra,THEFT,shoplifting,ipc 378,office,23,26,male,False,closed,low,21.104983332878984,79.18857933572384,IPC,IPC 378,0,Sunday,26-35
FIR/MUM/2022/7685,2022-07-06 04:25:00,2022,Mumbai,Maharashtra,DRUG OFFENSE,peddling,NDPS Act,highway,18,47,male,False,under investigation,low,19.213993903753828,73.0022827535512,NDPS,NDPS,4,Wednesday,36-50
FIR/HYD/2022/1960,2022-08-24 17:08:00,2022,Hyderabad,Telangana,THEFT,shoplifting,Sec 378,residence,3,36,unknown,False,convicted,low,17.332712361638574,78.36847413443064,IPC,IPC 378,17,Wednesday,36-50
FIR/CHA/2022/5215,2022-10-23 09:52:00,2022,Chandigarh,Punjab,FRAUD/CHEATING,online fraud,420,school,32,76,male,False,charge sheeted,low,30.87936977809544,76.90168042151873,IPC,IPC 420,9,Sunday,65+
5902/2016,2016-01-01 00:00:00,2016,Ahmedabad,Gujarat,EXTORTION,online extortion,IPC 383,railway station,28,78,male,False,closed,medium,23.11452089388348,72.55065151288062,IPC,IPC 383,0,Friday,65+
FIR55392017,2017-05-22 00:00:00,2017,Kolkata,West Bengal,ROBBERY,armed robbery,IPC 392,school,12,15,male,False,charge sheeted,high,22.433935212992704,88.2832070567138,IPC,IPC 392,0,Monday,Under 18
PUN-2020-5716,2020-04-29 15:29:00,2020,Pune,Maharashtra,DRUG OFFENSE,possession,ndps act,street,3,29,male,False,pending trial,low,18.63819481012329,73.8255914875478,NDPS,NDPS,15,Wednesday,26-35
FIR55192023,2023-01-04 23:19:00,2023,Ahmedabad,Gujarat,COUNTERFEITING,fake currency,IPC 489A,highway,6,79,male,False,closed,low,22.89652592334249,72.66408847462769,IPC,IPC 489,23,Wednesday,65+
fir/del/2020/7923,2020-09-27 00:00:00,2020,Delhi,Delhi,DOMESTIC VIOLENCE,physical abuse,DV Act 2005,railway station,46,6,male,True,under investigation,medium,28.64512028805376,77.21959233602809,DV,DV,0,Sunday,Under 18
AHM-2022-4336,2022-05-08 20:27:00,2022,Ahmedabad,Gujarat,DOMESTIC VIOLENCE,mental cruelty,498-A IPC,street,25,69,unknown,False,pending trial,medium,23.09493192010438,72.49928901221352,IPC,IPC 498,20,Sunday,65+
fir/bho/2019/3218,2019-09-04 11:16:00,2019,Bhopal,Madhya Pradesh,DRUG OFFENSE,trafficking,ndps act,highway,11,35,unknown,True,charge sheeted,low,23.24570749364509,77.51404700776982,NDPS,NDPS,11,Wednesday,26-35
FIR/KAN/2023/1505,2023-03-12 14:11:00,2023,Kanpur,Uttar Pradesh,THEFT,shoplifting,378,residence,15,25,unknown,False,charge sheeted,low,26.40903814903588,80.24617668798776,IPC,IPC 378,14,Sunday,18-25
FIR26892022,2022-02-07 22:26:00,2022,Bangalore,Karnataka,VEHICLE THEFT,two wheeler,379 IPC,unknown,1,51,male,False,closed,low,13.099485637216254,77.59869235194928,IPC,IPC 379,22,Monday,51-65
4377/2023,2023-12-27 20:27:00,2023,Kanpur,Uttar Pradesh,KIDNAPPING,child kidnapping,363 IPC,residence,4,5,male,True,charge sheeted,high,26.4742077518847,80.37812291874928,IPC,IPC 363,20,Wednesday,Under 18
MUM-2019-2866,2019-08-18 17:18:00,2019,Mumbai,Maharashtra,THEFT,pickpocketing,IPC-378,office,4,18,male,False,under investigation,low,19.08434604286876,72.95306703172628,IPC,IPC 378,17,Sunday,Under 18
3192/2018,2018-03-09 11:11:00,2018,Ahmedabad,Gujarat,RIOTING,communal riot,ipc 147,unknown,17,47,unknown,False,convicted,medium,23.15944957335197,72.60528031892166,IPC,IPC 147,11,Friday,36-50
FIR/BHO/2023/2870,2023-01-01 00:00:00,2023,Bhopal,Madhya Pradesh,THEFT,mobile theft,IPC-378,office,25,24,male,True,pending trial,low,23.271975266149823,77.5056149460877,IPC,IPC 378,0,Sunday,18-25
4867/2015,2015-05-05 00:00:00,2015,Jaipur,Rajasthan,ROBBERY,armed robbery,ipc 392,railway station,46,73,female,False,pending trial,high,26.849508229485043,75.72392824433614,IPC,IPC 392,0,Tuesday,65+
FIR/PUN/2017/4785,2017-05-09 11:06:00,2017,Pune,Maharashtra,FRAUD/CHEATING,investment scam,420,railway station,42,28,male,True,closed,low,18.49498891422277,73.92747375756392,IPC,IPC 420,11,Tuesday,26-35
FIR39842019,2019-10-10 11:19:00,2019,Surat,Gujarat,ASSAULT,simple assault,ipc 351,street,16,74,female,False,pending trial,medium,21.29994318548785,72.8423298547898,IPC,IPC 351,11,Thursday,65+
FIR45392023,2023-11-14 00:00:00,2023,Mumbai,Maharashtra,DACOITY,gang robbery,ipc 395,street,25,11,male,False,convicted,high,18.94422427486127,73.00717196233748,IPC,IPC 395,0,Tuesday,Under 18
FIR56942022,2022-01-01 00:00:00,2022,Delhi,Delhi,VEHICLE THEFT,two wheeler,379 IPC,residence,31,25,female,False,pending trial,low,28.7026813823418,77.21950456414481,IPC,IPC 379,0,Saturday,18-25
JAI-2015-1951,2015-05-17 23:51:00,2015,Jaipur,Rajasthan,ROBBERY,bank robbery,IPC 392,unknown,16,57,unknown,True,under investigation,high,26.91126379476323,75.65886975519818,IPC,IPC 392,23,Sunday,51-65
FIR23342021,2021-01-01 00:00:00,2021,Guwahati,Assam,ASSAULT,grievous hurt,351 IPC,office,23,60,male,False,under investigation,medium,26.140377764825768,91.83746810880156,IPC,IPC 351,0,Friday,51-65
6572/2015,2015-08-06 13:34:00,2015,Kanpur,Uttar Pradesh,FRAUD/CHEATING,online fraud,420 IPC,highway,16,43,male,False,closed,low,26.533743588813905,80.4485331203284,IPC,IPC 420,13,Thursday,36-50
FIR23442020,2020-06-24 16:04:00,2020,Ahmedabad,Gujarat,ASSAULT,simple assault,351 IPC,school,13,38,male,False,under investigation,medium,23.09030331281631,72.63449460817941,IPC,IPC 351,16,Wednesday,36-50
fir/mum/2019/2503,2019-02-20 21:54:00,2019,Mumbai,Maharashtra,DRUG OFFENSE,peddling,Sec 20 NDPS,street,11,59,male,False,under investigation,low,18.970702898811773,72.84368359269382,NDPS,NDPS 20,21,Wednesday,51-65
8482/2015,2015-07-12 08:25:00,2015,Bhopal,Madhya Pradesh,VEHICLE THEFT,two wheeler,MVA Sec 185,office,31,14,female,False,acquitted,low,23.39614893957937,77.38978669709552,MVA,MVA 185,8,Sunday,Under 18
IND-2019-1271,2019-08-13 14:27:00,2019,Indore,Madhya Pradesh,BURGLARY,night burglary,ipc 457,school,36,56,male,False,under investigation,medium,22.642549864500072,75.74638007396672,IPC,IPC 457,14,Tuesday,51-65
FIR18742015,2015-03-14 10:39:00,2015,Mumbai,Maharashtra,MURDER,premeditated,Sec. 302,highway,40,70,male,False,closed,high,19.10168454279911,72.75293521583633,IPC,IPC 302,10,Saturday,65+
3512/2021,2021-12-09 03:58:00,2021,Indore,Madhya Pradesh,KIDNAPPING,abduction for ransom,ipc 363,market,46,38,female,True,convicted,high,22.796001493630587,75.86334592379876,IPC,IPC 363,3,Thursday,36-50
6847/2015,2015-07-23 09:19:00,2015,Patna,Bihar,ASSAULT,road rage,IPC 351,highway,45,27,male,False,under investigation,medium,25.58525932422118,85.1118600049027,IPC,IPC 351,9,Thursday,26-35
1937/2019,2019-10-09 19:27:00,2019,Jaipur,Rajasthan,THEFT,shoplifting,IPC-378,atm,20,50,unknown,False,pending trial,low,26.778508694394937,75.67615862754364,IPC,IPC 378,19,Wednesday,36-50
8122/2017,2017-05-27 21:39:00,2017,Bhubaneswar,Odisha,THEFT,shoplifting,IPC-378,street,24,51,female,False,charge sheeted,low,20.324518428982994,85.80325509867143,IPC,IPC 378,21,Saturday,51-65
FIR/KOL/2022/2990,2022-01-01 00:00:00,2022,Kolkata,West Bengal,ROBBERY,unarmed robbery,IPC-392,atm,41,54,male,False,convicted,high,22.477727559118847,88.50129569127294,IPC,IPC 392,0,Saturday,51-65
FIR37442023,2023-10-04 09:28:00,2023,Patna,Bihar,CYBER CRIME,identity theft,66C IT Act,residence,10,10,female,False,closed,low,25.613788337467124,85.16874419565733,IT,IT 66,9,Wednesday,Under 18
FIR/BHU/2023/8545,2023-10-08 00:46:00,2023,Bhubaneswar,Odisha,CYBER CRIME,identity theft,IT Act 66,residence,14,71,male,False,pending trial,low,20.323005078854717,85.81755102863916,IT,IT 66,0,Sunday,65+
FIR50592016,2016-02-16 00:00:00,2016,Bangalore,Karnataka,VEHICLE THEFT,car theft,IPC 379,street,26,6,unknown,True,charge sheeted,low,12.91724741619974,77.73086133615048,IPC,IPC 379,0,Tuesday,Under 18
FIR/BAN/2015/8310,2015-01-01 00:00:00,2015,Bangalore,Karnataka,DRUG OFFENSE,possession,ndps act,office,8,77,male,False,charge sheeted,low,13.08876481654743,77.5927349263194,NDPS,NDPS,0,Thursday,65+
fir/pun/2019/7178,2019-05-17 23:57:00,2019,Pune,Maharashtra,MURDER,culpable homicide,Sec. 302,railway station,26,22,male,False,closed,high,18.42990799266934,73.83880923103189,IPC,IPC 302,23,Friday,18-25
FIR11992018,2018-05-25 19:02:00,2018,Pune,Maharashtra,ASSAULT,grievous hurt,351 IPC,bank,45,63,female,False,charge sheeted,medium,18.39947087686185,73.70766355402992,IPC,IPC 351,19,Friday,51-65
FIR/MUM/2016/2940,2016-03-18 05:36:00,2016,Mumbai,Maharashtra,ASSAULT,grievous hurt,ipc 351,highway,38,18,female,False,charge sheeted,medium,18.936004734880974,73.00468474180177,IPC,IPC 351,5,Friday,Under 18
FIR11842023,2023-01-30 14:15:00,2023,Kolkata,West Bengal,VEHICLE THEFT,two wheeler,MVA Sec 185,street,38,72,female,False,charge sheeted,low,22.53494787145048,88.44008178431798,MVA,MVA 185,14,Monday,65+
DEL-2017-4596,2017-01-16 20:37:00,2017,Delhi,Delhi,THEFT,chain snatching,378 IPC,street,32,38,female,False,under investigation,low,28.723987448288405,77.0330753876127,IPC,IPC 378,20,Monday,36-50
4807/2020,2020-03-10 14:47:00,2020,Mumbai,Maharashtra,CYBER CRIME,phishing,66C IT Act,market,20,60,female,True,charge sheeted,low,19.068375527787666,72.98279617746506,IT,IT 66,14,Tuesday,51-65
fir/del/2018/9063,2018-08-16 12:12:00,2018,Delhi,Delhi,FRAUD/CHEATING,bank fraud,ipc 420,bank,19,37,male,False,under investigation,low,28.83448397108872,77.05698843943532,IPC,IPC 420,12,Thursday,36-50
4052/2016,2016-03-31 12:13:00,2016,Pune,Maharashtra,EXTORTION,online extortion,383 IPC,office,14,7,female,False,closed,medium,18.50511090836888,73.96567570723869,IPC,IPC 383,12,Thursday,Under 18
4487/2019,2019-10-11 18:25:00,2019,Jaipur,Rajasthan,DRUG OFFENSE,trafficking,Sec 20 NDPS,office,40,66,unknown,False,under investigation,low,26.868720881326524,75.76242490939187,NDPS,NDPS 20,18,Friday,65+
FIR53542020,2020-01-21 15:10:00,2020,Jaipur,Rajasthan,DOMESTIC VIOLENCE,physical abuse,ipc 498a,residence,36,39,male,False,under investigation,medium,26.840000387603123,75.71511058107681,IPC,IPC 498,15,Tuesday,36-50
CHE-2022-4001,2022-01-23 01:17:00,2022,Chennai,Tamil Nadu,RAPE/SEXUAL ASSAULT,sexual assault,IPC 376,residence,45,57,female,True,charge sheeted,high,13.014188916976732,80.39658670901207,IPC,IPC 376,1,Sunday,51-65
FIR/MUM/2023/5675,2023-05-17 00:00:00,2023,Mumbai,Maharashtra,THEFT,mobile theft,Sec 378,bank,40,37,female,False,closed,low,19.14792529829027,72.972085654574,IPC,IPC 378,0,Wednesday,36-50
KAN-2023-8356,2023-05-20 08:12:00,2023,Kanpur,Uttar Pradesh,THEFT,mobile theft,378 IPC,street,42,38,unknown,False,under investigation,low,26.36253593247902,80.26378802377738,IPC,IPC 378,8,Saturday,36-50
FIR/CHE/2015/3895,2015-05-19 09:10:00,2015,Chennai,Tamil Nadu,DOMESTIC VIOLENCE,physical abuse,DV Act 2005,street,33,60,male,False,acquitted,medium,13.041909253915463,80.32634876529563,DV,DV,9,Tuesday,51-65
FIR/AHM/2018/2280,2018-03-16 16:39:00,2018,Ahmedabad,Gujarat,FRAUD/CHEATING,upi fraud,IPC-420,residence,12,50,female,False,charge sheeted,low,22.962160425731494,72.43725604004968,IPC,IPC 420,16,Friday,36-50
fir/kol/2019/1073,2019-02-09 21:10:00,2019,Kolkata,West Bengal,FRAUD/CHEATING,bank fraud,IPC-420,street,10,76,female,True,charge sheeted,low,22.55719617201669,88.39543339822752,IPC,IPC 420,21,Saturday,65+
AHM-2016-7961,2016-11-30 20:55:00,2016,Ahmedabad,Gujarat,THEFT,mobile theft,IPC 378,residence,27,60,unknown,False,convicted,low,22.91736271022129,72.5587330820712,IPC,IPC 378,20,Wednesday,51-65
MUM-2015-1476,2015-01-05 22:39:00,2015,Mumbai,Maharashtra,MURDER,premeditated,ipc 302,bank,31,64,female,False,closed,high,19.194794579575294,72.91707909365853,IPC,IPC 302,22,Monday,51-65
fir/hyd/2017/8358,2017-01-01 00:00:00,2017,Hyderabad,Telangana,KIDNAPPING,child kidnapping,ipc 363,railway station,47,15,male,False,closed,high,17.375816915953134,78.61057515497197,IPC,IPC 363,0,Sunday,Under 18
FIR78392017,2017-03-22 13:56:00,2017,Bhopal,Madhya Pradesh,CYBER CRIME,hacking,IT Act 66,street,3,55,female,True,convicted,low,23.25093750543725,77.5235588148553,IT,IT 66,13,Wednesday,51-65
8242/2017,2017-08-04 11:24:00,2017,Bangalore,Karnataka,VEHICLE THEFT,two wheeler,IPC 379,school,44,30,male,False,charge sheeted,low,13.06335301877621,77.45539725929154,IPC,IPC 379,11,Friday,26-35
AHM-2022-7821,2022-02-24 08:38:00,2022,Ahmedabad,Gujarat,THEFT,shoplifting,IPC-378,railway station,1,41,female,False,charge sheeted,low,23.087354197487077,72.57589783128608,IPC,IPC 378,8,Thursday,36-50
FIR/PAT/2021/5935,2021-06-17 07:59:00,2021,Patna,Bihar,BURGLARY,house breaking,Sec. 457,atm,15,36,male,False,charge sheeted,medium,25.49267991581165,85.05061709490356,IPC,IPC 457,7,Thursday,36-50
4297/2023,2023-06-10 19:20:00,2023,Kolkata,West Bengal,RAPE/SEXUAL ASSAULT,rape,376 IPC,bank,49,26,unknown,True,under investigation,high,22.681917446134644,88.41117488720984,IPC,IPC 376,19,Saturday,26-35
DEL-2020-8311,2020-11-08 17:57:00,2020,Delhi,Delhi,ATTEMPT TO MURDER,stabbing,ipc 307,market,21,55,female,True,pending trial,high,28.642040044461517,77.06479434045254,IPC,IPC 307,17,Sunday,51-65
5402/2023,2023-05-13 02:42:00,2023,Bangalore,Karnataka,RAPE/SEXUAL ASSAULT,sexual assault,ipc 376,school,6,77,unknown,False,closed,high,13.111278866986536,77.4621197373795,IPC,IPC 376,2,Saturday,65+
