fir_number,date_reported,year,city,state,primary_crime_type,description,ipc_section,location_type,beat_zone,victim_age,victim_gender,arrest_made,case_status,severity,latitude,longitude
FIR/DEL/2017/9390,1509780540,2017,Delhi,Delhi,DRUG OFFENSE,Trafficking,ndps act,MARKET,25.0,44.0,Female,,Closed,LOW,28.69067610277117,77.0911808000662
FIR48192019,15-02-2019,2019,Chandigarh,Punjab,EXTORTION,Online Extortion,IPC 383,Bank,9.0,46.0,UNKNOWN,YES,CHARGE SHEETED,medium,30.863110165154033,76.80463343131444
BAN-2016-6026,05/04/2016 07:14:00,2016,Bangalore,Karnataka,CYBER CRIME,IDENTITY THEFT,IT Act 66,RESIDENCE,,48.0,,,Pending Trial,low,12.950181220944785,77.66330726425043
fir/mum/2015/6428,01 November 2015 04:58 PM,2015,Mumbai,Maharashtra,FRAUD/CHEATING,Bank Fraud,Sec 420,STREET,33.0,,FEMALE,False,CHARGE SHEETED,Low,19.03378853454012,72.81412552750156
1297/2022,2022-06-15 14:28:00,2022,Bangalore,Karnataka,HUMAN TRAFFICKING,LABOUR TRAFFICKING,IPC 370,RESIDENCE,46.0,31.0,,no,Acquitted,High,13.037907647920209,77.45959932058734
FIR93542022,01/27/2022 07:08:00,2022,Chandigarh,Punjab,CYBER CRIME,PHISHING,IT Act 66,,40.0,34.0,F,No,Closed,low,30.800580890237452,76.90845161006106
FIR/PAT/2015/4195,04-04-2015,2015,Patna,Bihar,THEFT,Mobile Theft,Sec 378,Highway,43.0,10.0,Male,NO,Acquitted,Low,25.479959225563924,85.21458901182037
fir/hyd/2022/3038,1641425520,2022,Hyderabad,Telangana,BURGLARY,Night Burglary,Sec. 457,RESIDENCE,15.0,66.0,F,,under investigation,Medium,17.303284739778228,78.48530686222183
KOL-2018-3731,01-05-2018,2018,Kolkata,West Bengal,BURGLARY,HOUSE BREAKING,ipc 457,RAILWAY STATION,36.0,15.0,Male,no,,Medium,22.487979069039657,88.4834746041215
8047/2020,03/01/2020 21:59:00,2020,Chennai,Tamil Nadu,THEFT,PICKPOCKETING,IPC 378,School,10.0,8.0,Unknown,y,PENDING TRIAL,Low,13.191804667852221,80.23498942876675
FIR90642016,02/01/2016 06:28:00,2016,Indore,Madhya Pradesh,FRAUD/CHEATING,online fraud,IPC 420,SCHOOL,13.0,,male,TRUE,CLOSED,Low,22.83216852076286,75.8092535128061
FIR74692023,16/08/23 07:25,2023,Delhi,Delhi,VEHICLE THEFT,Two Wheeler,379 IPC,Residence,37.0,13.0,Female,yes,closed,Low,28.653846285473033,76.96443294259231
HYD-2015-3746,09/18/2015 06:29:00,2015,Hyderabad,Telangana,MURDER,PREMEDITATED,IPC-302,HIGHWAY,39.0,57.0,MALE,no,PENDING TRIAL,High,17.354174104581478,78.56090458574246
6522/2018,03/27/2018 01:40:00,2018,Bhopal,Madhya Pradesh,THEFT,PICKPOCKETING,IPC-378,OFFICE,9.0,20.0,,,under investigation,Low,23.406617300531583,77.5594986747218
5572/2016,25 April 2016 01:38 PM,2016,Chandigarh,Punjab,THEFT,Pickpocketing,378,,14.0,57.0,Male,n,,Low,30.64974371191793,76.69653901171803
FIR19492022,15/01/22 12:17,2022,Delhi,Delhi,THEFT,Pickpocketing,ipc 378,RESIDENCE,16.0,49.0,Female,no,Acquitted,Low,28.608247811971456,77.23243711496492
fir/kan/2016/2368,25/10/2016 01:11:00,2016,Kanpur,Uttar Pradesh,THEFT,shoplifting,Sec 378,School,33.0,5.0,Unknown,n,Charge Sheeted,Low,26.515102104619324,80.22415919835024
fir/bhu/2018/4803,18-07-2018,2018,Bhubaneswar,Odisha,THEFT,MOBILE THEFT,378,HIGHWAY,7.0,66.0,FEMALE,Yes,Acquitted,Low,20.232240635238977,85.69940790488825
FIR/JAI/2022/9325,05/07/22 05:05,2022,Jaipur,Rajasthan,VEHICLE THEFT,two wheeler,379 IPC,SCHOOL,18.0,79.0,female,,Charge Sheeted,Low,26.97646142946671,75.79391376463066
FIR/DEL/2021/6300,26 February 2021 11:36 PM,2021,Delhi,Delhi,FRAUD/CHEATING,Bank Fraud,420 IPC,Office,10.0,,,N,charge sheeted,Low,,
PAT-2016-7301,09/03/16 03:39,2016,Patna,Bihar,THEFT,Pickpocketing,IPC 378,Residence,21.0,45.0,female,,CLOSED,Low,25.60225107872263,85.19661289955154
fir/kol/2020/1008,01/11/2020 08:59:00,2020,Kolkata,West Bengal,DRUG OFFENSE,TRAFFICKING,NDPS ACT Sec 8,RESIDENCE,,43.0,,n,CLOSED,LOW,22.562681776203444,88.2432543322121
AHM-2023-3521,2023-11-12 23:55:00,2023,Ahmedabad,Gujarat,ASSAULT,ROAD RAGE,ipc 351,street,30.0,71.0,FEMALE,,charge sheeted,Medium,23.066978465789685,72.57785540782324
FIR82242016,30/06/2016 04:13:00,2016,Pune,Maharashtra,KIDNAPPING,ABDUCTION FOR RANSOM,ipc 363,street,,36.0,FEMALE,,,High,,
HYD-2021-4921,2021-06-28 11:35:00,2021,Hyderabad,Telangana,THEFT,Chain Snatching,378 IPC,SCHOOL,35.0,78.0,m,FALSE,Charge Sheeted,Low,17.37773179348815,78.34436334455442
fir/che/2017/2978,12/15/2017 01:52:00,2017,Chennai,Tamil Nadu,THEFT,CHAIN SNATCHING,IPC 378,Highway,,,,no,Closed,Low,,
KOL-2020-9171,04-03-2020,2020,Kolkata,West Bengal,DACOITY,ARMED DACOITY,IPC 395,BANK,11.0,5.0,Female,No,CLOSED,High,22.537850037909763,88.46678034788077
fir/ban/2018/9303,08/04/2018 12:37:00,2018,Bangalore,Karnataka,CYBER CRIME,Phishing,it act 66,MARKET,8.0,73.0,,Yes,PENDING TRIAL,low,12.93322528320694,77.73567079867063
fir/ban/2015/2458,09/10/2015 13:55:00,2015,Bangalore,Karnataka,THEFT,shoplifting,ipc 378,BANK,40.0,49.0,m,False,Closed,Low,13.012673525953886,77.60474261962335
FIR63692021,2021-12-18 14:44:00,2021,Delhi,Delhi,ROBBERY,armed robbery,392 IPC,MARKET,38.0,71.0,Unknown,yes,PENDING TRIAL,HIGH,28.79153855874673,76.95661398673681
NAG-2017-6291,09-12-2017,2017,Nagpur,Maharashtra,ROBBERY,Unarmed Robbery,ipc 392,OFFICE,6.0,64.0,female,,PENDING TRIAL,HIGH,21.286467566538125,79.02107969771868
PUN-2016-8951,22/03/2016 04:52:00,2016,Pune,Maharashtra,OTHER IPC OFFENSE,Public Nuisance,Other IPC,,46.0,11.0,m,,UNDER INVESTIGATION,Low,18.458637322840115,73.8846596841873
fir/luc/2017/1908,24 March 2017 06:41 PM,2017,Lucknow,Uttar Pradesh,DOMESTIC VIOLENCE,DOWRY HARASSMENT,IPC 498A,SCHOOL,47.0,59.0,female,no,,MEDIUM,26.94143821861038,80.97284744102112
3362/2022,06/25/2022 19:56:00,2022,Ahmedabad,Gujarat,KIDNAPPING,CHILD KIDNAPPING,IPC-363,Railway Station,37.0,40.0,,NO,Acquitted,High,23.11398986424604,72.48627854365755
fir/koc/2018/6218,04/16/2018 03:15:00,2018,Kochi,Kerala,BURGLARY,HOUSE BREAKING,Sec. 457,Bank,1.0,25.0,male,FALSE,CONVICTED,Medium,9.786878262383318,76.323720832894
FIR/KOC/2015/3885,27/12/15 20:38,2015,Kochi,Kerala,FRAUD/CHEATING,BANK FRAUD,IPC-420,ATM,24.0,51.0,Male,,Convicted,Low,,
FIR15592016,26/02/2016 05:55:00,2016,Lucknow,Uttar Pradesh,ASSAULT,Grievous Hurt,IPC 352,SCHOOL,10.0,62.0,UNKNOWN,,CHARGE SHEETED,Medium,,
PUN-2023-9966,1702460880,2023,Pune,Maharashtra,CYBER CRIME,Identity Theft,it act 66,RESIDENCE,39.0,46.0,female,no,Convicted,low,18.50214612521245,73.88752599136795
FIR25742020,1605110580,2020,Jaipur,Rajasthan,BURGLARY,Night Burglary,457 IPC,Residence,38.0,6.0,,NO,Convicted,Medium,26.77374749634545,75.92181810846745
FIR/KAN/2018/2530,02/08/2018 12:59:00,2018,Kanpur,Uttar Pradesh,ASSAULT,Road Rage,351 IPC,Street,1.0,45.0,FEMALE,NO,Acquitted,Medium,26.407704789654534,80.42375231156976
fir/hyd/2020/9628,15 October 2020 02:36 AM,2020,Hyderabad,Telangana,RIOTING,COMMUNAL RIOT,IPC 148,Street,3.0,55.0,Male,YES,charge sheeted,Medium,17.316888713358995,78.35984799982454
fir/sur/2023/1273,2023-02-27 12:29:00,2023,Surat,Gujarat,DOMESTIC VIOLENCE,Dowry Harassment,DV Act 2005,Bank,22.0,55.0,M,y,under investigation,MEDIUM,21.02896346018075,72.84366844944235
FIR22692022,13/03/22 16:23,2022,Kanpur,Uttar Pradesh,DOMESTIC VIOLENCE,DOWRY HARASSMENT,ipc 498a,Market,8.0,21.0,Male,Yes,,MEDIUM,26.45854009112904,80.44840901281907
KOC-2018-1911,25/02/2018 05:02:00,2018,Kochi,Kerala,BURGLARY,HOUSE BREAKING,ipc 457,RAILWAY STATION,1.0,54.0,Female,False,CHARGE SHEETED,Medium,9.912865201120306,76.38271108792024
BAN-2015-2121,2015-06-05 19:30:00,2015,Bangalore,Karnataka,COUNTERFEITING,Document Forgery,ipc 489a,RESIDENCE,33.0,27.0,UNKNOWN,,under investigation,Low,13.010107677722257,77.52144276624648
FIR/KOL/2021/5290,07/13/2021 19:30:00,2021,Kolkata,West Bengal,BURGLARY,house breaking,457 IPC,SCHOOL,41.0,,Female,FALSE,charge sheeted,Medium,22.59844910311713,88.44286424676324
MUM-2015-9271,05/01/2015 10:57:00,2015,Mumbai,Maharashtra,BURGLARY,Shop Breaking,Sec. 457,Highway,23.0,22.0,Male,yes,Under Investigation,Medium,19.146813025482253,72.7541242742877
FIR31892015,29/05/15 16:43,2015,Kolkata,West Bengal,BURGLARY,Night Burglary,457 IPC,Residence,44.0,74.0,Female,Yes,Under Investigation,Medium,22.701923670798138,88.36633779570752
FIR32092023,2023-04-18 05:46:00,2023,Mumbai,Maharashtra,THEFT,Pickpocketing,ipc 378,STREET,,19.0,Male,No,Under Investigation,Low,19.01277912602494,72.86437820146124
7187/2021,08-10-2021,2021,Mumbai,Maharashtra,RAPE/SEXUAL ASSAULT,RAPE,IPC 376,MARKET,8.0,21.0,male,FALSE,Pending Trial,High,18.98209000747234,72.89977663029129
JAI-2022-8386,11/07/2022 22:14:00,2022,Jaipur,Rajasthan,THEFT,Chain Snatching,378,SCHOOL,43.0,14.0,FEMALE,n,under investigation,Low,26.976079732477196,75.68160855470298
FIR/BHO/2019/9005,21/12/19 09:02,2019,Bhopal,Madhya Pradesh,FRAUD/CHEATING,Investment Scam,ipc 420,,5.0,25.0,male,TRUE,closed,Low,23.181257558390623,77.54597519882623
PUN-2020-2981,31/03/20 23:14,2020,Pune,Maharashtra,HUMAN TRAFFICKING,LABOUR TRAFFICKING,370 IPC,Residence,37.0,77.0,FEMALE,no,CHARGE SHEETED,High,18.65030921336821,74.0019490999888
fir/mum/2019/3313,2019-09-14 18:26:00,2019,Mumbai,Maharashtra,DOMESTIC VIOLENCE,Physical Abuse,DV Act 2005,STREET,30.0,79.0,Male,N,CHARGE SHEETED,MEDIUM,19.043913362621193,72.97227645481166
FIR/NAG/2023/1070,1680752220,2023,Nagpur,Maharashtra,THEFT,Shoplifting,ipc 378,OFFICE,23.0,26.0,M,,Closed,Low,21.104983332878984,79.18857933572384
FIR/MUM/2022/7685,06/07/22 04:25,2022,Mumbai,Maharashtra,DRUG OFFENSE,Peddling,NDPS Act,Highway,18.0,47.0,Male,False,Under Investigation,LOW,19.213993903753828,73.0022827535512
FIR/HYD/2022/1960,24/08/2022 17:08:00,2022,Hyderabad,Telangana,THEFT,shoplifting,Sec 378,Residence,3.0,36.0,,N,Convicted,Low,17.332712361638574,78.36847413443064
FIR/CHA/2022/5215,23/10/2022 09:52:00,2022,Chandigarh,Punjab,FRAUD/CHEATING,Online Fraud,420,School,32.0,76.0,MALE,False,CHARGE SHEETED,Low,30.879369778095437,76.90168042151873
FIR/SUR/2021/5700,25 March 2021 02:45 PM,2021,Surat,Gujarat,ASSAULT,Simple Assault,IPC 352,Street,7.0,,M,n,Acquitted,Medium,21.205737807043977,72.71012626883925
5902/2016,1462033980,2016,Ahmedabad,Gujarat,EXTORTION,ONLINE EXTORTION,IPC 383,RAILWAY STATION,28.0,78.0,male,N,closed,medium,23.114520893883476,72.55065151288062
FIR55392017,22-05-2017,2017,Kolkata,West Bengal,ROBBERY,armed robbery,IPC 392,School,12.0,15.0,Male,n,CHARGE SHEETED,HIGH,22.433935212992704,88.2832070567138
PUN-2020-5716,29 April 2020 03:29 PM,2020,Pune,Maharashtra,DRUG OFFENSE,Possession,ndps act,street,3.0,29.0,MALE,FALSE,PENDING TRIAL,LOW,18.638194810123295,73.8255914875478
FIR55192023,04/01/2023 23:19:00,2023,Ahmedabad,Gujarat,COUNTERFEITING,Fake Currency,IPC 489A,Highway,6.0,79.0,male,no,Closed,Low,22.896525923342494,72.66408847462769
fir/del/2020/7923,27-09-2020,2020,Delhi,Delhi,DOMESTIC VIOLENCE,PHYSICAL ABUSE,DV Act 2005,Railway Station,46.0,6.0,m,Yes,under investigation,MEDIUM,28.64512028805376,77.21959233602809
4502/2017,1483417560,2017,Bhubaneswar,Odisha,CYBER CRIME,Hacking,66C IT Act,Office,37.0,,male,N,CONVICTED,low,20.314190020144974,85.91732526506038
AHM-2022-4336,08/05/2022 20:27:00,2022,Ahmedabad,Gujarat,DOMESTIC VIOLENCE,Mental Cruelty,498-A IPC,STREET,,69.0,,FALSE,PENDING TRIAL,MEDIUM,23.09493192010438,72.49928901221352
fir/bho/2019/3218,04/09/2019 11:16:00,2019,Bhopal,Madhya Pradesh,DRUG OFFENSE,Trafficking,ndps act,Highway,11.0,35.0,Unknown,True,charge sheeted,LOW,23.24570749364509,77.51404700776982
FIR/KAN/2023/1505,2023-03-12 14:11:00,2023,Kanpur,Uttar Pradesh,THEFT,shoplifting,378,RESIDENCE,15.0,25.0,Unknown,False,Charge Sheeted,Low,26.409038149035876,80.24617668798776
FIR26892022,2022-02-07 22:26:00,2022,Bangalore,Karnataka,VEHICLE THEFT,two wheeler,379 IPC,,1.0,51.0,M,,CLOSED,Low,13.099485637216254,77.59869235194928
4377/2023,2023-12-27 20:27:00,2023,Kanpur,Uttar Pradesh,KIDNAPPING,CHILD KIDNAPPING,363 IPC,Residence,4.0,5.0,male,Yes,,High,26.4742077518847,80.37812291874928
MUM-2019-2866,08/18/2019 17:18:00,2019,Mumbai,Maharashtra,THEFT,PICKPOCKETING,IPC-378,OFFICE,4.0,18.0,m,N,Under Investigation,Low,19.08434604286876,72.95306703172628
3192/2018,09/03/2018 11:11:00,2018,Ahmedabad,Gujarat,RIOTING,communal riot,ipc 147,,17.0,47.0,Unknown,,CONVICTED,Medium,23.159449573351974,72.60528031892166
FIR/BHO/2023/2870,1678630980,2023,Bhopal,Madhya Pradesh,THEFT,Mobile Theft,IPC-378,Office,,24.0,Male,Yes,PENDING TRIAL,Low,23.271975266149823,77.5056149460877
fir/bhu/2016/8203,20-07-2016,2016,Bhubaneswar,Odisha,THEFT,Pickpocketing,378,street,11.0,,,FALSE,CLOSED,Low,20.162248223605715,85.78621351642767
4867/2015,05-05-2015,2015,Jaipur,Rajasthan,ROBBERY,armed robbery,ipc 392,RAILWAY STATION,46.0,73.0,FEMALE,,PENDING TRIAL,HIGH,26.849508229485043,75.72392824433614
4222/2021,1629962700,2021,Mumbai,Maharashtra,THEFT,Mobile Theft,IPC 378,Railway Station,33.0,,Male,No,Acquitted,Low,19.1191525171127,72.75974196174609
FIR/PUN/2017/4785,2017-05-09 11:06:00,2017,Pune,Maharashtra,FRAUD/CHEATING,Investment Scam,420,RAILWAY STATION,42.0,28.0,m,TRUE,Closed,Low,18.49498891422277,73.92747375756392
FIR39842019,10/10/2019 11:19:00,2019,Surat,Gujarat,ASSAULT,SIMPLE ASSAULT,ipc 351,Street,16.0,74.0,FEMALE,no,Pending Trial,Medium,21.29994318548785,72.8423298547898
FIR45392023,14-11-2023,2023,Mumbai,Maharashtra,DACOITY,Gang Robbery,ipc 395,STREET,,11.0,Male,No,CONVICTED,High,18.94422427486127,73.00717196233748
FIR56942022,1650355440,2022,Delhi,Delhi,VEHICLE THEFT,two wheeler,379 IPC,RESIDENCE,31.0,25.0,Female,,PENDING TRIAL,Low,28.702681382341797,77.21950456414481
FIR/BAN/2016/9440,04/02/2016 22:53:00,2016,Bangalore,Karnataka,RIOTING,COMMUNAL RIOT,ipc 147,Railway Station,22.0,19.0,Male,n,Under Investigation,Medium,,
JAI-2015-1951,17/05/2015 23:51:00,2015,Jaipur,Rajasthan,ROBBERY,Bank Robbery,IPC 392,,16.0,57.0,,YES,UNDER INVESTIGATION,HIGH,26.91126379476323,75.65886975519818
FIR23342021,1636731600,2021,Guwahati,Assam,ASSAULT,Grievous Hurt,351 IPC,Office,23.0,60.0,M,No,under investigation,Medium,26.140377764825768,91.83746810880156
6572/2015,06 August 2015 01:34 PM,2015,Kanpur,Uttar Pradesh,FRAUD/CHEATING,Online Fraud,420 IPC,Highway,16.0,43.0,male,False,Closed,Low,26.533743588813902,80.4485331203284
FIR23442020,24/06/2020 16:04:00,2020,Ahmedabad,Gujarat,ASSAULT,SIMPLE ASSAULT,351 IPC,School,13.0,38.0,m,,Under Investigation,Medium,23.09030331281631,72.63449460817941
fir/mum/2019/2503,20/02/2019 21:54:00,2019,Mumbai,Maharashtra,DRUG OFFENSE,Peddling,Sec 20 NDPS,street,11.0,59.0,Male,NO,Under Investigation,LOW,18.970702898811773,72.84368359269382
8482/2015,12/07/2015 08:25:00,2015,Bhopal,Madhya Pradesh,VEHICLE THEFT,Two Wheeler,MVA Sec 185,Office,31.0,14.0,female,,Acquitted,Low,23.396148939579366,77.38978669709552
IND-2019-1271,13/08/2019 14:27:00,2019,Indore,Madhya Pradesh,BURGLARY,Night Burglary,ipc 457,SCHOOL,36.0,56.0,Male,,Under Investigation,Medium,22.642549864500072,75.74638007396672
FIR18742015,03/14/2015 10:39:00,2015,Mumbai,Maharashtra,MURDER,premeditated,Sec. 302,Highway,40.0,70.0,Male,,CLOSED,High,19.10168454279911,72.75293521583633
3512/2021,09/12/2021 03:58:00,2021,Indore,Madhya Pradesh,KIDNAPPING,Abduction for Ransom,ipc 363,Market,46.0,38.0,female,True,CONVICTED,High,22.796001493630587,75.86334592379876
6847/2015,23/07/2015 09:19:00,2015,Patna,Bihar,ASSAULT,Road Rage,IPC 351,HIGHWAY,45.0,27.0,Male,,UNDER INVESTIGATION,Medium,25.58525932422118,85.1118600049027
1937/2019,2019-10-09 19:27:00,2019,Jaipur,Rajasthan,THEFT,Shoplifting,IPC-378,ATM,20.0,50.0,,,Pending Trial,Low,26.778508694394937,75.67615862754364
8122/2017,05/27/2017 21:39:00,2017,Bhubaneswar,Odisha,THEFT,SHOPLIFTING,IPC-378,Street,24.0,51.0,F,,CHARGE SHEETED,Low,20.324518428982994,85.80325509867143
FIR11892022,25/04/22 14:27,2022,Patna,Bihar,BURGLARY,House Breaking,Sec. 457,Residence,1.0,,MALE,,PENDING TRIAL,Medium,25.476592043040352,85.00457178599657
FIR/KOL/2022/2990,1660991220,2022,Kolkata,West Bengal,ROBBERY,Unarmed Robbery,IPC-392,ATM,41.0,54.0,Male,no,Convicted,HIGH,22.477727559118847,88.50129569127294
FIR37442023,04/10/2023 09:28:00,2023,Patna,Bihar,CYBER CRIME,IDENTITY THEFT,66C IT Act,Residence,10.0,10.0,F,n,Closed,low,25.613788337467124,85.16874419565733
FIR/BHU/2023/8545,2023-10-08 00:46:00,2023,Bhubaneswar,Odisha,CYBER CRIME,Identity Theft,IT Act 66,Residence,14.0,71.0,MALE,False,Pending Trial,low,20.323005078854713,85.81755102863916
5152/2015,06/01/2015 12:48:00,2015,Mumbai,Maharashtra,EXTORTION,ONLINE EXTORTION,IPC 383,Street,32.0,,FEMALE,TRUE,Under Investigation,medium,18.96722116202189,72.99358278311207
FIR50592016,16-02-2016,2016,Bangalore,Karnataka,VEHICLE THEFT,CAR THEFT,IPC 379,STREET,26.0,6.0,,Yes,CHARGE SHEETED,Low,12.917247416199741,77.73086133615048
fir/kol/2015/5858,05/17/2015 02:01:00,2015,Kolkata,West Bengal,ASSAULT,Simple Assault,351 IPC,ATM,41.0,32.0,male,no,UNDER INVESTIGATION,Medium,,
FIR/BAN/2015/8310,1427382240,2015,Bangalore,Karnataka,DRUG OFFENSE,POSSESSION,ndps act,Office,8.0,77.0,m,NO,,LOW,13.08876481654743,77.5927349263194
FIR99142015,05/22/2015 02:30:00,2015,Mumbai,Maharashtra,DRUG OFFENSE,Possession,Sec 20 NDPS,BANK,,,female,,CHARGE SHEETED,LOW,18.952501891668376,72.98286371154849
fir/pun/2019/7178,05/17/2019 23:57:00,2019,Pune,Maharashtra,MURDER,CULPABLE HOMICIDE,Sec. 302,Railway Station,26.0,22.0,Male,no,Closed,High,18.42990799266934,73.83880923103189
FIR11992018,25/05/2018 19:02:00,2018,Pune,Maharashtra,ASSAULT,Grievous Hurt,351 IPC,Bank,45.0,63.0,f,No,CHARGE SHEETED,Medium,18.39947087686185,73.70766355402992
FIR/MUM/2016/2940,18 March 2016 05:36 AM,2016,Mumbai,Maharashtra,ASSAULT,Grievous Hurt,ipc 351,Highway,38.0,18.0,Female,No,CHARGE SHEETED,Medium,18.936004734880978,73.00468474180177
FIR11842023,30/01/2023 14:15:00,2023,Kolkata,West Bengal,VEHICLE THEFT,TWO WHEELER,MVA Sec 185,Street,38.0,72.0,Female,,,Low,22.53494787145048,88.44008178431798
DEL-2017-4596,16 January 2017 08:37 PM,2017,Delhi,Delhi,THEFT,CHAIN SNATCHING,378 IPC,street,32.0,38.0,FEMALE,,under investigation,Low,28.723987448288405,77.0330753876127
4807/2020,10/03/2020 14:47:00,2020,Mumbai,Maharashtra,CYBER CRIME,Phishing,66C IT Act,MARKET,20.0,60.0,Female,TRUE,charge sheeted,low,19.068375527787662,72.98279617746506
fir/del/2018/9063,16/08/2018 12:12:00,2018,Delhi,Delhi,FRAUD/CHEATING,BANK FRAUD,ipc 420,Bank,19.0,37.0,Male,n,UNDER INVESTIGATION,Low,28.83448397108872,77.05698843943532
4052/2016,31 March 2016 12:13 PM,2016,Pune,Maharashtra,EXTORTION,ONLINE EXTORTION,383 IPC,OFFICE,14.0,7.0,Female,,closed,medium,18.50511090836888,73.96567570723869
4487/2019,11/10/2019 18:25:00,2019,Jaipur,Rajasthan,DRUG OFFENSE,TRAFFICKING,Sec 20 NDPS,Office,40.0,66.0,UNKNOWN,no,Under Investigation,LOW,26.868720881326524,75.76242490939187
fir/ahm/2020/8528,23/02/2020 22:01:00,2020,Ahmedabad,Gujarat,FRAUD/CHEATING,UPI Fraud,IPC-420,OFFICE,47.0,40.0,Female,NO,Pending Trial,Low,,
FIR/MUM/2023/1935,18/02/2023 11:57:00,2023,Mumbai,Maharashtra,ASSAULT,SIMPLE ASSAULT,Sec. 351,Street,19.0,,Female,FALSE,CHARGE SHEETED,Medium,19.108023710904806,72.78849070601619
FIR53542020,01/21/2020 15:10:00,2020,Jaipur,Rajasthan,DOMESTIC VIOLENCE,physical abuse,ipc 498a,RESIDENCE,36.0,39.0,Male,,under investigation,MEDIUM,26.840000387603123,75.71511058107681
CHE-2022-4001,2022-01-23 01:17:00,2022,Chennai,Tamil Nadu,RAPE/SEXUAL ASSAULT,Sexual Assault,IPC 376,RESIDENCE,45.0,57.0,Female,Yes,charge sheeted,High,13.014188916976732,80.39658670901207
FIR/MUM/2023/5675,17-05-2023,2023,Mumbai,Maharashtra,THEFT,MOBILE THEFT,Sec 378,BANK,40.0,37.0,F,False,closed,Low,19.14792529829027,72.972085654574
FIR59792023,24-08-2023,2023,Jaipur,Rajasthan,MURDER,PREMEDITATED,IPC 302,Highway,10.0,59.0,F,No,CONVICTED,High,,
KAN-2023-8356,20 May 2023 08:12 AM,2023,Kanpur,Uttar Pradesh,THEFT,Mobile Theft,378 IPC,Street,42.0,38.0,,NO,UNDER INVESTIGATION,Low,26.36253593247902,80.26378802377738
FIR/CHE/2015/3895,19/05/2015 09:10:00,2015,Chennai,Tamil Nadu,DOMESTIC VIOLENCE,physical abuse,DV Act 2005,Street,33.0,60.0,Male,,Acquitted,MEDIUM,13.041909253915465,80.32634876529563
FIR/AHM/2018/2280,16/03/2018 16:39:00,2018,Ahmedabad,Gujarat,FRAUD/CHEATING,UPI Fraud,IPC-420,RESIDENCE,12.0,50.0,f,n,charge sheeted,Low,22.962160425731494,72.43725604004968
fir/kol/2019/1073,2019-02-09 21:10:00,2019,Kolkata,West Bengal,FRAUD/CHEATING,Bank Fraud,IPC-420,Street,10.0,76.0,Female,y,Charge Sheeted,Low,22.557196172016692,88.39543339822752
AHM-2016-7961,2016-11-30 20:55:00,2016,Ahmedabad,Gujarat,THEFT,Mobile Theft,IPC 378,RESIDENCE,27.0,60.0,Unknown,FALSE,CONVICTED,Low,22.917362710221294,72.5587330820712
MUM-2015-1476,05 January 2015 10:39 PM,2015,Mumbai,Maharashtra,MURDER,premeditated,ipc 302,Bank,31.0,64.0,F,N,Closed,High,19.194794579575298,72.91707909365853
fir/hyd/2017/8358,1503521220,2017,Hyderabad,Telangana,KIDNAPPING,CHILD KIDNAPPING,ipc 363,Railway Station,47.0,15.0,Male,No,closed,High,17.375816915953134,78.61057515497197
FIR78392017,22/03/2017 13:56:00,2017,Bhopal,Madhya Pradesh,CYBER CRIME,Hacking,IT Act 66,STREET,3.0,55.0,Female,y,Convicted,low,23.25093750543725,77.5235588148553
